Country,Average GDP per capita
Afghanistan,408.5625
Albania,3071.125
Algeria,3745.125
Angola,2647.8125
Antigua and Barbuda,14678.75
Argentina,12169.125
Armenia,2657.375
Australia,51750.9375
Austria,42376
Azerbaijan,3813.6875
Bahrain,22044.25
Bangladesh,897.3125
Barbados,16752.125
Belarus,4630.5
Belgium,38782
Belize,4700.9375
Benin,984.4375
Bhutan,1882.625
Bolivia,2414.375
Bosnia and Herzegovina,3797.5
Botswana,5504.8125
Brazil,7991.5
Brunei,33930.6875
Bulgaria,5701.875
Burkina Faso,548.75
Burundi,309.125
Cambodia,805.375
Cameroon,1236.3125
Canada,39683.625
Cape Verde,2671.125
Central African Republic,466.6875
Chad,627.3125
Chile,11067
China,4707.5
Colombia,4911.0625
Comoros,1204.25
"Congo, Rep.",2264.625
Costa Rica,9571.0625
Croatia,11269.375
Cuba,5952.5
Cyprus,24677.8125
Czech Republic,15476.8125
Democratic Republic of the Congo,393.75
Denmark,51486.4375
Djibouti,1333.6875
Dominican Republic,5277.4375
East Timor,1082.125
Ecuador,5176.9375
Egypt,3120.9375
El Salvador,3296.9375
Equatorial Guinea,12067.9375
Eritrea,1267.5
Estonia,14643.375
Ethiopia,401.375
Federated States of Micronesia,2991.1875
Fiji,4591.375
Finland,42462.5625
France,35447.25
Gabon,7320
Gambia,705.1875
Georgia,2780.5625
Germany,37390.8125
Ghana,1357.8125
Greece,20658.5
Grenada,8010.4375
Guatemala,3525
Guinea,688.5625
Guinea Bissau,576.5
Guyana,4589.6875
Haiti,1323.75
Honduras,2054.9375
Hungary,11134.625
Iceland,48572.8125
India,1111.75
Indonesia,2505.75
Iran,4936.5
Iraq,3989.1875
Ireland,47788.6875
Israel,31216.6875
Italy,32284.25
Ivory Coast,1679
Jamaica,5011.6875
Japan,32972.3125
Jordan,4283.3125
Kazakhstan,7986.0625
Kenya,1270.3125
Kiribati,1471.0625
Kuwait,34269.6875
Kyrgyzstan,912.9375
Laos,1430.1875
Latvia,10883.375
Lebanon,7539
Lesotho,926.6875
Liberia,666.3125
Libya,11193.75
Lithuania,10667.8125
Luxembourg,102972.6875
Macedonia,3971.1875
Madagascar,472.875
Malawi,324.6875
Malaysia,7868.75
Maldives,8099.5
Mali,690.9375
Malta,19672.1875
Mauritania,1407.3125
Mauritius,7189.3125
Mexico,9005
Moldova,2068.0625
Mongolia,2551
Montenegro,5520.375
Morocco,2336.0625
Mozambique,438.8125
Myanmar,730.8125
Namibia,3943.9375
Nepal,689.25
Netherlands,43304.125
New Zealand,35167.5
Nicaragua,1675.625
Niger,432.6875
Nigeria,2133
Norway,72224.1875
Oman,20085.3125
Pakistan,1197
Panama,9572.5625
Papua New Guinea,2084.4375
Paraguay,4402.625
Peru,4626.1875
Philippines,2295.75
Poland,9788.875
Portugal,19198.8125
Qatar,60679.1875
Republic of Serbia,4696.4375
Romania,7011.0625
Russia,7955
Rwanda,534.75
Saint Lucia,9911.8125
Saint Vincent and the Grenadines,6576.0625
Samoa,3824
Sao Tome and Principe,1307.4375
Saudi Arabia,18709.75
Senegal,1129.5
Seychelles,12245.0625
Sierra Leone,526.6875
Singapore,44656.625
Slovakia,12869.8125
Slovenia,19578.3125
Solomon Islands,1964.375
Somalia,263.9375
South Africa,5786
Spain,25511.6875
Sri Lanka,2700.0625
Suriname,8133.375
Swaziland,3097.5625
Sweden,46750.8125
Switzerland,79544.8125
Syria,1412.5
Tajikistan,709.625
Thailand,4739.25
The Bahamas,34031.4375
Togo,500.25
Tonga,3954.0625
Trinidad and Tobago,16137.9375
Tunisia,3585.625
Turkey,8298.875
Turkmenistan,3839.625
Uganda,693.4375
Ukraine,2156.8125
United Arab Emirates,45530.875
United Kingdom,42705.5
United Republic of Tanzania,751.875
United States of America,52662.9375
Uruguay,12007.625
Uzbekistan,1896
Vanuatu,2735.625
Venezuela,9294.875
Vietnam,1807.875
Yemen,2406.8125
Zambia,1059.875
Zimbabwe,1290.625
Grand Total,11540.92493
